year,apt_name,total_arrival_delay_minutes,disruption_delay,capacity_delay,weather_delay,event_delay,staffing_delay,total_taxiout_additional_minutes,avg_arrival_delay_per_flight_imputed,total_arrival_delay_minutes_imputed
2018,Leipzig-Halle,799,0,0,799,0,0,6755.201667,0.290545455,799
2018,Leipzig-Halle,4358,0,0,4358,0,0,5546.135,1.490933972,4358
2018,Leipzig-Halle,743,0,0,743,0,0,7782.503333,0.259336824,743
2018,Leipzig-Halle,313,0,180,133,0,0,7783.183333,0.093628477,313
2018,Leipzig-Halle,594,0,378,216,0,0,9432.233333,0.181762546,594
2018,Leipzig-Halle,569,0,62,507,0,0,9613.808333,0.165599534,569
2018,Leipzig-Halle,146,0,0,146,0,0,10365.20833,0.04380438,146
2018,Leipzig-Halle,791,0,0,791,0,0,9845.798333,0.242044064,791
2018,Leipzig-Halle,2887,0,377,2510,0,0,9938.035,0.817383918,2887
2018,Leipzig-Halle,722,0,0,722,0,0,8977.476667,0.22804801,722
2018,Leipzig-Halle,1021,0,0,1021,0,0,7602.135,0.351947604,1021
2019,Leipzig-Halle,1020,0,0,1020,0,0,5785.323333,0.355648536,1020
2019,Leipzig-Halle,1303,0,0,1303,0,0,9240.54,0.417360666,1303
2019,Leipzig-Halle,595,0,161,434,0,0,8202.715,0.192618971,595
2019,Leipzig-Halle,434,0,166,268,0,0,10241.98833,0.13092006,434
2019,Leipzig-Halle,2811,0,369,2442,0,0,10952.45,0.882574568,2811
2019,Leipzig-Halle,157,0,103,54,0,0,10634.37667,0.046041056,157
2019,Leipzig-Halle,525,0,0,525,0,0,10293.26167,0.164422174,525
2019,Leipzig-Halle,287,0,0,287,0,0,10237.06833,0.086186186,287
2019,Leipzig-Halle,3120,0,151,2969,0,0,10781.74667,0.881604973,3120
2019,Leipzig-Halle,1962,0,0,1962,0,0,8978.726667,0.656406825,1962
2019,Leipzig-Halle,1027,0,258,769,0,0,7689.458333,0.353285174,1027
2020,Leipzig-Halle,1270,0,0,1270,0,0,7089.1,0.454382826,1270
2020,Leipzig-Halle,1182,0,0,1182,0,0,7589.203333,0.438589981,1182
2020,Leipzig-Halle,11,0,0,11,0,0,6632.446667,0.004766031,11
2020,Leipzig-Halle,434,0,0,434,0,0,9305.253333,0.166602687,434
2020,Leipzig-Halle,250,0,0,250,0,0,7109.84,0.10105093,250
2020,Leipzig-Halle,1213,0,0,1213,0,0,7752.915,0.454307116,1213
2021,Leipzig-Halle,1620,0,0,1620,0,0,5825.42,0.65348931,1620
2021,Leipzig-Halle,1334,0,0,1334,0,0,8032.946667,0.568869936,1334
2021,Leipzig-Halle,121,0,0,121,0,0,10447.865,0.040226064,121
2021,Leipzig-Halle,948,0,744,204,0,0,9968.248333,0.328824142,948
