apt_name,total_taxiout_additional_minutes,delay_type,delay_minutes
Cologne-Bonn,8794.261667,Disruption,0
Cologne-Bonn,8794.261667,Capacity,1508
Cologne-Bonn,8794.261667,Weather,1391
Cologne-Bonn,8794.261667,Event,0
Cologne-Bonn,8794.261667,Staffing,0
Cologne-Bonn,7735.365,Disruption,0
Cologne-Bonn,7735.365,Capacity,991
Cologne-Bonn,7735.365,Weather,1584
Cologne-Bonn,7735.365,Event,0
Cologne-Bonn,7735.365,Staffing,0
Cologne-Bonn,10351.48,Disruption,0
Cologne-Bonn,10351.48,Capacity,1839
Cologne-Bonn,10351.48,Weather,1977
Cologne-Bonn,10351.48,Event,0
Cologne-Bonn,10351.48,Staffing,0
Cologne-Bonn,12200.985,Disruption,0
Cologne-Bonn,12200.985,Capacity,3045
Cologne-Bonn,12200.985,Weather,0
Cologne-Bonn,12200.985,Event,0
Cologne-Bonn,12200.985,Staffing,0
Cologne-Bonn,13730.63667,Disruption,583
Cologne-Bonn,13730.63667,Capacity,5012
Cologne-Bonn,13730.63667,Weather,0
Cologne-Bonn,13730.63667,Event,0
Cologne-Bonn,13730.63667,Staffing,0
Cologne-Bonn,13990.92667,Disruption,0
Cologne-Bonn,13990.92667,Capacity,6247
Cologne-Bonn,13990.92667,Weather,1832
Cologne-Bonn,13990.92667,Event,0
Cologne-Bonn,13990.92667,Staffing,0
Cologne-Bonn,15008.70667,Disruption,0
Cologne-Bonn,15008.70667,Capacity,7135
Cologne-Bonn,15008.70667,Weather,397
Cologne-Bonn,15008.70667,Event,0
Cologne-Bonn,15008.70667,Staffing,0
Cologne-Bonn,15853.255,Disruption,0
